order_id,order_date,customer_id,state,city,region,channel,category,product,quantity,unit_price,discount_pct,unit_cost,sales_amount,cost_amount,profit,payment_mode,year,month_num,month,quarter,year_month,gross_sales_before_discount,discount_amount,profit_margin
ORD101487,2024-01-01,CUST12751,Odisha,Cuttack,East,Store,Monitors,27-inch Monitor,1,22500.0,0.0,16800.0,21168.0,16800.0,4368.0,Credit Card,2024,1,Jan,Q1,2024-01,22500.0,0.0,0.20634920634920634
ORD102258,2024-01-01,CUST10028,Maharashtra,Mumbai,West,Online,Mobiles,Budget Smartphone,3,14500.0,0.05,10800.0,40862.16,32400.0,8462.16,UPI,2024,1,Jan,Q1,2024-01,43500.0,2175.0,0.2070903740771413
ORD102315,2024-01-01,CUST10189,Maharashtra,Pune,West,Online,Accessories,Bluetooth Speaker,4,6500.0,0.08,4100.0,23652.1,16400.0,7252.1,UPI,2024,1,Jan,Q1,2024-01,26000.0,2080.0,0.3066154802321993
ORD102441,2024-01-01,CUST12520,Gujarat,Vadodara,West,Online,Laptops,Gaming Laptop,1,98000.0,0.05,79000.0,92057.28,79000.0,13057.28,UPI,2024,1,Jan,Q1,2024-01,98000.0,4900.0,0.14183864654701944
ORD103673,2024-01-01,CUST10447,Odisha,Cuttack,East,Online,Laptops,Gaming Laptop,1,98000.0,0.08,79000.0,89150.21,79000.0,10150.21,UPI,2024,1,Jan,Q1,2024-01,98000.0,7840.0,0.1138551440316293
ORD105082,2024-01-01,CUST11780,Delhi,New Delhi,North,Online,Tablets,Android Tablet,1,22000.0,0.05,16500.0,20665.92,16500.0,4165.92,Credit Card,2024,1,Jan,Q1,2024-01,22000.0,1100.0,0.2015840572304548
ORD105759,2024-01-01,CUST10278,West Bengal,Kolkata,East,Online,Accessories,Bluetooth Speaker,2,6500.0,0.02,4100.0,12597.31,8200.0,4397.31,UPI,2024,1,Jan,Q1,2024-01,13000.0,260.0,0.34906738025816625
ORD106301,2024-01-01,CUST11073,Uttar Pradesh,Noida,North,Online,Accessories,Bluetooth Speaker,2,6500.0,0.08,4100.0,11826.05,8200.0,3626.05,UPI,2024,1,Jan,Q1,2024-01,13000.0,1040.0,0.3066154802321993
ORD106905,2024-01-01,CUST10917,West Bengal,Durgapur,East,Online,Laptops,Business Laptop 15,1,61000.0,0.05,47000.0,57300.96,47000.0,10300.96,UPI,2024,1,Jan,Q1,2024-01,61000.0,3050.0,0.17976941398538523
ORD107005,2024-01-01,CUST12843,Delhi,New Delhi,North,Store,Mobiles,Budget Smartphone,2,14500.0,0.0,10800.0,27283.2,21600.0,5683.2,Cash,2024,1,Jan,Q1,2024-01,29000.0,0.0,0.20830401125967626
ORD107362,2024-01-01,CUST12867,Karnataka,Mangaluru,South,Store,Accessories,Bluetooth Speaker,1,6500.0,0.05,4100.0,5809.44,4100.0,1709.44,Debit Card,2024,1,Jan,Q1,2024-01,6500.0,325.0,0.29425211380098604
ORD108282,2024-01-01,CUST10745,Tamil Nadu,Coimbatore,South,Online,Mobiles,Budget Smartphone,1,14500.0,0.08,10800.0,13190.59,10800.0,2390.59,UPI,2024,1,Jan,Q1,2024-01,14500.0,1160.0,0.18123450126188442
ORD109283,2024-01-01,CUST11477,Maharashtra,Pune,West,Store,Tablets,Android Tablet,1,22000.0,0.0,16500.0,20697.6,16500.0,4197.6,Debit Card,2024,1,Jan,Q1,2024-01,22000.0,0.0,0.20280612244897964
ORD110963,2024-01-01,CUST10215,Tamil Nadu,Madurai,South,Online,Mobiles,Premium Smartphone,1,58000.0,0.1,44000.0,51615.36,44000.0,7615.36,UPI,2024,1,Jan,Q1,2024-01,58000.0,5800.0,0.14754057706853152
ORD111079,2024-01-01,CUST12439,Karnataka,Bengaluru,South,Store,Monitors,24-inch Monitor,1,14500.0,0.02,10800.0,13368.77,10800.0,2568.77,Debit Card,2024,1,Jan,Q1,2024-01,14500.0,290.0,0.19214707112172622
ORD112239,2024-01-01,CUST12443,Karnataka,Mangaluru,South,Store,Monitors,24-inch Monitor,2,14500.0,0.05,10800.0,25919.04,21600.0,4319.04,Cash,2024,1,Jan,Q1,2024-01,29000.0,1450.0,0.16663580132597502
