order_id,order_date,customer_id,state,city,region,channel,category,product,quantity,unit_price,discount_pct,unit_cost,sales_amount,cost_amount,profit,payment_mode
ORD100000,2024-03-06,CUST12237,Telangana,Warangal,South,Online,Mobiles,Budget Smartphone,2,14500.0,0.05,10800.0,28376.5,21600.0,6776.5,Credit Card
ORD100001,2025-07-19,CUST10437,Uttar Pradesh,Noida,North,Store,Tablets,Android Tablet,2,22000.0,0.05,16500.0,40964.0,33000.0,7964.0,Credit Card
ORD100002,2025-04-23,CUST12723,Gujarat,Vadodara,West,Store,Accessories,Bluetooth Speaker,2,6500.0,0.08,4100.0,11720.8,8200.0,3520.8,Credit Card
ORD100003,2024-11-16,CUST10011,Tamil Nadu,Chennai,South,Online,Mobiles,Budget Smartphone,1,14500.0,0.0,10800.0,16727.2,10800.0,5927.2,UPI
ORD100004,2024-11-12,CUST10638,Telangana,Hyderabad,South,Online,Tablets,Android Tablet,1,22000.0,0.08,16500.0,23348.86,16500.0,6848.86,UPI
ORD100005,2025-09-19,CUST11752,Uttar Pradesh,Lucknow,North,Online,Accessories,Wireless Earbuds,1,4200.0,0.1,2700.0,3893.4,2700.0,1193.4,Credit Card
ORD100006,2024-03-03,CUST11410,Odisha,Cuttack,East,Online,Laptops,Business Laptop 15,3,61000.0,0.0,47000.0,188490.0,141000.0,47490.0,Credit Card
ORD100007,2025-05-24,CUST11221,Rajasthan,Udaipur,North,Store,Printers,Laser Printer,4,28000.0,0.02,21400.0,107564.8,85600.0,21964.8,Cash
ORD100008,2024-05-27,CUST10872, delhi,New Delhi,North,Store,Monitors,24-inch Monitor,1,14500.0,0.1,10800.0,12789.0,10800.0,1989.0,Debit Card
ORD100009,2024-03-09,CUST10989, delhi,New Delhi,North,Online,Tablets,Pro Tablet,2,48000.0,0.0,36000.0,98880.0,72000.0,26880.0,Credit Card
ORD100010,2025-01-19,CUST11565, delhi,New Delhi,North,Online,Accessories,Smart Watch,1,7800.0,0.02,5000.0,7558.39,5000.0,2558.39,UPI
ORD100011,2025-12-14,CUST10390,Telangana,Hyderabad,South,Online,Printers,Laser Printer,2,28000.0,0.08,21400.0,59433.47,42800.0,16633.47,Net Banking
ORD100012,2025-06-21,CUST10717,Maharashtra,Pune,West,Online,Accessories,Wireless Earbuds,1,4200.0,0.02,2700.0,4239.48,2700.0,1539.48,UPI
ORD100013,2025-07-10,CUST10773,Uttar Pradesh,Noida,North,Online,Accessories,Smart Watch,1,7800.0,0.02,5000.0,7873.32,5000.0,2873.32,Cash
