year_month,sales,profit,orders
2024-01,29859872.57,5248672.57,630
2024-02,26251143.47,4625943.47,587
2024-03,30467732.73,6441432.73,647
2024-04,31833839.99,6657339.99,658
2024-05,28908789.08,6147989.08,631
2024-06,28907159.83,6011259.83,602
2024-07,32308876.03,6833276.03,661
2024-08,31043229.71,6440029.71,662
2024-09,28508534.99,5973434.99,614
2024-10,34554907.47,10254307.47,605
2024-11,33004169.03,9823369.03,658
2024-12,32919722.61,9685822.61,624
2025-01,35283909.8,5937809.8,695
2025-02,27022260.42,4669060.42,559
2025-03,32344913.73,6658513.73,653
2025-04,29748253.23,6072453.23,609
2025-05,31654078.81,6349678.81,570
2025-06,30732492.68,6408592.68,640
2025-07,28666646.45,5982246.45,640
2025-08,30112967.5,6320767.5,610
2025-09,32099833.32,6561233.32,604
2025-10,34088280.55,10018380.55,605
2025-11,33558950.55,9696650.55,582
2025-12,36800402.44,10583302.44,654
