product,sales,profit,units,profit_margin
Ultrabook 14,132868760.59,27588760.59,1880,0.20763918070352191
Gaming Laptop,102251105.51,18353105.51,1062,0.17949053380361835
Business Laptop 15,101101684.32,21812684.32,1687,0.21574995972332187
Premium Smartphone,81384886.13,18508886.13,1429,0.22742412025292835
5G Smartphone,74790841.94,16309341.94,2387,0.21806602943558198
Pro Tablet,39796162.59,9448162.59,843,0.23741391066620424
Android Tablet,38373036.3,9052536.3,1777,0.23590878316814354
Budget Smartphone,37231721.81,9022121.81,2612,0.2423235179947215
27-inch Monitor,29741261.49,7128461.49,1346,0.23968255322313164
24-inch Monitor,24093262.41,5744062.41,1699,0.23840949026545716
Ink Tank Printer,21714985.26,5427985.26,1335,0.24996495254355974
Smart Watch,19733365.21,6798365.21,2587,0.3445111939931506
Laser Printer,19284146.48,4239946.4799999995,703,0.21986695052318433
Bluetooth Speaker,14941024.09,5359324.09,2337,0.35869857766891533
Wireless Earbuds,13374722.86,4607822.86,3247,0.3445172590290219
